Luna,Cutremure,MA_Cutremure,Magnitudine,MA_Magnitudine
1,29,30.33,3.04,2.95
2,34,31.00,2.65,2.84
3,34,32.33,2.91,2.87
4,36,34.67,2.98,2.85
5,28,32.67,3.10,3.00
6,27,30.33,2.95,3.01
7,30,28.33,2.88,2.98
8,33,30.00,2.76,2.86
9,35,32.67,2.85,2.83
10,31,33.00,2.90,2.84
11,29,31.67,3.00,2.92
12,28,29.33,2.87,2.92
13,32,29.67,2.93,2.93
14,30,30.00,2.91,2.90
15,27,29.67,2.95,2.93
16,33,30.00,2.86,2.91
17,31,30.33,2.88,2.90
18,29,31.00,3.01,2.92
19,34,31.33,2.90,2.93
20,32,31.67,2.84,2.92
21,28,31.33,2.79,2.84
22,30,30.00,2.89,2.84
23,33,30.33,3.01,2.90
24,31,31.33,2.90,2.93
25,29,31.00,2.93,2.95
26,28,29.33,2.88,2.90
27,36,31.00,2.97,2.93
28,35,33.00,3.00,2.95
29,30,33.67,2.85,2.94
30,33,32.67,2.92,2.92
31,29,30.67,2.88,2.88
32,27,29.67,2.83,2.88
33,30,28.67,2.91,2.87
34,32,29.67,2.94,2.89
