date,Time,magnitude,zone,description
10/31/2024,0:00,2.1,MUNTENIA BUZAU,MUNTENIA BUZAU
10/30/2024,12:15,2,TRANSILVANIA COVASNA,TRANSILVANIA COVASNA
10/28/2024,9:37,2,MUNTENIA BUZAU,BANAT TIMIS
10/28/2024,7:41,2.1,MUNTENIA BUZAU,ZONA SEISMICA VRANCEA VRANCEA
10/26/2024,10:25,2,BANAT TIMIS,ZONA SEISMICA VRANCEA BUZAU
10/25/2024,18:13,2.9,ZONA SEISMICA VRANCEA VRANCEA,OLTENIA GORJ
10/25/2024,13:03,3,ZONA SEISMICA VRANCEA BUZAU,ZONA SEISMICA FAGARAS-CAMPULUNG ARGES
10/23/2024,0:14,2.5,ZONA SEISMICA VRANCEA VRANCEA,BANAT CARAS-SEVERIN
10/21/2024,12:32,2.6,ZONA SEISMICA VRANCEA BUZAU,MOLDOVA VASLUI
10/19/2024,17:04,3.3,ZONA SEISMICA VRANCEA BUZAU,TRANSILVANIA BRASOV
10/18/2024,2:16,2.3,OLTENIA GORJ,MUNTENIA BRAILA
10/17/2024,7:00,2.1,ZONA SEISMICA FAGARAS-CAMPULUNG ARGES,ZONA SEISMICA FAGARAS-CAMPULUNG DAMBOVITA
10/16/2024,21:03,2.2,ZONA SEISMICA VRANCEA VRANCEA,MOLDOVA GALATI
10/15/2024,6:30,2.9,ZONA SEISMICA VRANCEA BUZAU,BANAT ARAD
10/13/2024,21:32,2.1,OLTENIA GORJ,MUNTENIA PRAHOVA
10/11/2024,21:32,2.5,ZONA SEISMICA VRANCEA VRANCEA,ZONA SEISMICA VRANCEA PRAHOVA
10/11/2024,7:03,2.4,ZONA SEISMICA VRANCEA VRANCEA,ZONA SEISMICA VRANCEA BRASOV
10/10/2024,16:56,2.8,ZONA SEISMICA VRANCEA VRANCEA,DOBROGEA TULCEA
10/10/2024,5:52,3.3,ZONA SEISMICA VRANCEA VRANCEA,CRISANA SATU MARE
10/9/2024,19:11,2.1,BANAT CARAS-SEVERIN,OLTENIA VALCEA
10/9/2024,11:00,2,ZONA SEISMICA VRANCEA BUZAU,MARAMURES MARAMURES
10/9/2024,5:56,2.5,ZONA SEISMICA VRANCEA BUZAU,ZONA SEISMICA VRANCEA COVASNA
10/9/2024,1:48,4,ZONA SEISMICA VRANCEA BUZAU,MUNTENIA CALARASI
10/8/2024,12:41,2,MOLDOVA VASLUI,MOLDOVA VRANCEA_SE
10/8/2024,10:52,2.2,TRANSILVANIA BRASOV,OLTENIA MEHEDINTI
10/4/2024,6:19,4.2,ZONA SEISMICA VRANCEA VRANCEA,MOLDOVA IASI
10/1/2024,23:59,3,ZONA SEISMICA VRANCEA BUZAU,MOLDOVA BACAU
9/30/2024,3:52,2,OLTENIA GORJ,MOLDOVA NEAMT
9/30/2024,0:01,2,OLTENIA GORJ,CRISANA BIHOR
9/29/2024,18:35,2.9,MUNTENIA BRAILA,MUNTENIA DAMBOVITA
9/29/2024,15:23,3.5,ZONA SEISMICA VRANCEA VRANCEA,MUNTENIA ILFOV_N
9/29/2024,7:47,2.1,MUNTENIA BUZAU,MUNTENIA IALOMITA
9/28/2024,20:58,2.6,ZONA SEISMICA VRANCEA BUZAU,MUNTENIA ARGES
9/28/2024,2:13,2.7,ZONA SEISMICA VRANCEA BUZAU,TRANSILVANIA HUNEDOARA
9/21/2024,8:20,2.9,ZONA SEISMICA VRANCEA BUZAU,CRISANA ARAD
